"id","nameEn","nameRu","nameHy","descriptionEn","descriptionRu","descriptionHy","createdAt","updatedAt"
"40","Oven Repair","Ремонт духовки","Ջեռոցի նորոգում","Fix ovens","Ремонт духовок","Ջեռոցների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"41","Air Conditioner Repair","Ремонт кондиционера","Կոնդիցիոների նորոգում","Fix air conditioners","Ремонт кондиционеров","Կոնդիցիոների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"42","Wall Painting","Покраска стен","Պատերի ներկում","Paint walls","Покраска стен","Պատերի ներկում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"43","Ceiling Painting","Покраска потолка","Առաստաղի ներկում","Paint ceilings","Покраска потолка","Առաստաղների ներկում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"44","Wallpaper Installation","Поклейка обоев","Պաստառի փակցում","Install wallpaper","Поклейка обоев","Պաստառների փակցում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"45","Tile Repair","Ремонт плитки","Սալիկների նորոգում","Fix tiles","Ремонт плитки","Սալիկների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"46","Crack Repair","Ремонт трещин","Ճաքերի նորոգում","Fix wall cracks","Ремонт трещин","Պատի ճաքերի նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"47","Mirror Installation","Установка зеркала","Հայելու տեղադրում","Install mirrors","Установка зеркал","Հայելու տեղադրում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"48","Curtain Rod Installation","Установка карниза","Վարագույրի կարնիզի տեղադրում","Install curtain rods","Установка карниза","Կարնիզների տեղադրում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"49","Fence Repair","Ремонт забора","Ցանկապատի նորոգում","Fix fences","Ремонт заборов","Ցանկապատերի նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"50","Garage Door Repair","Ремонт гаражных ворот","Ավտոտնակի դռան նորոգում","Fix garage doors","Ремонт гаражных ворот","Ավտոտնակի դռների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"51","WiFi Setup","Настройка Wi-Fi","Wi-Fi կարգավորում","Setup home WiFi","Настройка Wi-Fi","Տնային Wi-Fi կարգավորում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"52","Circuit Breaker Replacement","Замена автомата","Էլեկտրական ավտոմատի փոխարինում","Replace circuit breakers","Замена автоматов","Էլեկտրական ավտոմատների փոխարինում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"53","Cable Laying","Прокладка кабеля","Մալուխի անցկացում","Lay electrical cables","Прокладка кабеля","Էլեկտրական մալուխների անցկացում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"54","Water Heater Repair","Ремонт бойлера","Ջրատաքացուցիչի նորոգում","Fix water heaters","Ремонт бойлера","Ջրատաքացուցիչների նորոգում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"55","Shower Installation","Установка душа","Ցնցուղի տեղադրում","Install showers","Установка душа","Ցնցուղի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"56","Bathtub Repair","Ремонт ванны","Լոգարանի վերանորոգում","Fix bathtubs","Ремонт ванны","Լոգարանի նորոգում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"57","Sink Installation","Установка раковины","Լվացարանի տեղադրում","Install sinks","Установка раковины","Լվացարանի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"58","Water Filter Installation","Установка фильтра воды","Ջրի ֆիլտրի տեղադրում","Install water filters","Установка фильтра воды","Ջրի ֆիլտրի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"59","Door Handle Replacement","Замена дверной ручки","Դռան բռնակի փոխարինում","Replace door handles","Замена дверных ручек","Դռան բռնակների փոխարինում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"60","Door Closer Installation","Установка доводчика","Դռան փակիչի տեղադրում","Install door closers","Установка доводчика","Դռան փակիչի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"61","Window Sealing","Герметизация окон","Պատուհանի հերմետիկացում","Seal window gaps","Герметизация окон","Պատուհանների հերմետիկացում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"62","Mosquito Net Installation","Установка москитной сетки","Մոծակապաշտ ցանցի տեղադրում","Install mosquito nets","Установка москитной сетки","Մոծակապաշտ ցանցերի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"63","Furniture Repair","Ремонт мебели","Կահույքի նորոգում","Fix damaged furniture","Ремонт мебели","Կահույքի նորոգում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"64","Bed Assembly","Сборка кровати","Մահճակալի հավաքում","Assemble beds","Сборка кровати","Մահճակալների հավաքում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"65","Wardrobe Assembly","Сборка шкафа","Պահարանի հավաքում","Assemble wardrobes","Сборка шкафа","Պահարանների հավաքում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"66","Kitchen Cabinet Installation","Установка кухонных шкафов","Խոհանոցի պահարանների տեղադրում","Install kitchen cabinets","Установка кухонных шкафов","Խոհանոցի պահարանների տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"67","Cooktop Installation","Установка варочной панели","Եփման վահանակի տեղադրում","Install cooktops","Установка варочной панели","Եփման վահանակների տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"68","Range Hood Installation","Установка вытяжки","Օդաքաշի տեղադրում","Install range hoods","Установка вытяжки","Օդաքաշերի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"69","Dryer Repair","Ремонт сушильной машины","Չորանոց մեքենայի նորոգում","Fix dryers","Ремонт сушильных машин","Չորանոց մեքենաների նորոգում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"70","Intercom Installation","Установка домофона","Ինտերկոմի տեղադրում","Install intercoms","Установка домофона","Ինտերկոմների տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"71","Doorbell Installation","Установка дверного звонка","Դռան զանգի տեղադրում","Install doorbells","Установка дверного звонка","Դռան զանգերի տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"72","Router Installation","Установка роутера","Ռոուտերի տեղադրում","Install routers","Установка роутера","Ռոուտերների տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"73","Cable TV Setup","Подключение кабельного ТВ","Կաբելային TV միացում","Setup cable TV","Подключение кабельного ТВ","Կաբելային հեռուստատեսության միացում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"74","Smart Device Setup","Настройка умных устройств","Խելացի սարքերի կարգավորում","Setup smart devices","Настройка умных устройств","Խելացի սարքերի կարգավորում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"75","Smoke Detector Installation","Установка датчика дыма","Ծխի սենսորի տեղադրում","Install smoke detectors","Установка датчика дыма","Ծխի սենսորների տեղադրում","2026-01-29 14:43:35.407","2026-01-29 14:43:35.407"
"76","Power Outlet Relocation","Перенос розетки","Վարդակի տեղափոխում","Move power outlets","Перенос розеток","Վարդակների տեղափոխում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"77","Grounding Installation","Установка заземления","Երկրացման տեղադրում","Install grounding","Установка заземления","Երկրացման տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"78","LED Strip Installation","Установка LED ленты","LED ժապավենի տեղադրում","Install LED strips","Установка LED ленты","LED ժապավենների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"79","Water Pressure Adjustment","Регулировка давления воды","Ջրի ճնշման կարգավորում","Adjust water pressure","Регулировка давления воды","Ջրի ճնշման կարգավորում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"80","Leak Detection","Поиск протечек","Արտահոսքի հայտնաբերում","Detect water leaks","Поиск протечек","Արտահոսքի հայտնաբերում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"81","Radiator Repair","Ремонт радиатора","Ռադիատորի նորոգում","Fix heating radiators","Ремонт радиаторов","Ռադիատորների նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"82","Radiator Installation","Установка радиатора","Ռադիատորի տեղադրում","Install radiators","Установка радиатора","Ռադիատորների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"83","Thermostat Installation","Установка термостата","Ջերմակարգավորիչի տեղադրում","Install thermostats","Установка термостата","Ջերմակարգավորիչների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"84","Door Frame Repair","Ремонт дверной коробки","Դռան շրջանակի նորոգում","Fix door frames","Ремонт дверной коробки","Դռան շրջանակների նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"85","Sliding Door Repair","Ремонт раздвижной двери","Սահող դռան նորոգում","Fix sliding doors","Ремонт раздвижных дверей","Սահող դռների նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"86","Window Handle Replacement","Замена оконной ручки","Պատուհանի բռնակի փոխարինում","Replace window handles","Замена оконной ручки","Պատուհանի բռնակների փոխարինում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"87","Blind Installation","Установка жалюзи","Ժալյուզի տեղադրում","Install blinds","Установка жалюзи","Ժալյուզների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"88","Cabinet Hinge Replacement","Замена петель шкафа","Պահարանի ծխնի փոխարինում","Replace cabinet hinges","Замена петель шкафа","Պահարանի ծխնիների փոխարինում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"89","Drawer Repair","Ремонт ящика","Դարակի նորոգում","Fix drawers","Ремонт ящиков","Դարակների նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"90","Countertop Repair","Ремонт столешницы","Աշխատասեղանի նորոգում","Fix countertops","Ремонт столешницы","Աշխատասեղանների նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"91","Tile Replacement","Замена плитки","Սալիկի փոխարինում","Replace tiles","Замена плитки","Սալիկների փոխարինում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"92","Grout Repair","Ремонт швов","Սալիկների կարերի նորոգում","Fix tile grout","Ремонт швов","Սալիկների կարերի նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"93","Laminate Repair","Ремонт ламината","Լամինատի նորոգում","Fix laminate floors","Ремонт ламината","Լամինատ հատակի նորոգում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"94","Baseboard Installation","Установка плинтуса","Պլինտուսի տեղադրում","Install baseboards","Установка плинтуса","Պլինտուսների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"95","Soundproofing Installation","Установка шумоизоляции","Ձայնամեկուսացման տեղադրում","Install soundproofing","Установка шумоизоляции","Ձայնամեկուսացման տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"96","Vent Cleaning","Чистка вентиляции","Օդափոխության մաքրում","Clean ventilation ducts","Чистка вентиляции","Օդափոխության մաքրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"97","Exhaust Fan Installation","Установка вентилятора","Օդափոխիչի տեղադրում","Install exhaust fans","Установка вентилятора","Օդափոխիչների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"98","Water Meter Installation","Установка водомера","Ջրաչափի տեղադրում","Install water meters","Установка водомера","Ջրաչափերի տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"99","Gas Stove Connection","Подключение газовой плиты","Գազօջախի միացում","Connect gas stoves","Подключение газовой плиты","Գազօջախների միացում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"100","Mailbox Installation","Установка почтового ящика","Փոստարկղի տեղադրում","Install mailboxes","Установка почтового ящика","Փոստարկղերի տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"101","House Number Installation","Установка номера дома","Տան համարի տեղադրում","Install house numbers","Установка номера дома","Տան համարների տեղադրում","2026-01-29 14:45:28.639","2026-01-29 14:45:28.639"
"102","Electrical Inspection","Проверка электрики","Էլեկտրական ստուգում","Inspect electrical systems","Проверка электросети","Էլեկտրական համակարգի ստուգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"103","Surge Protector Installation","Установка стабилизатора","Լարման կայունացուցիչի տեղադրում","Install surge protectors","Установка стабилизатора","Լարման կայունացուցիչների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"104","Extension Socket Installation","Установка удлинителя","Երկարացուցիչի տեղադրում","Install extension sockets","Установка удлинителя","Երկարացուցիչների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"105","Underfloor Heating Repair","Ремонт теплого пола","Տաք հատակի նորոգում","Fix floor heating","Ремонт теплого пола","Տաք հատակի նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"106","Boiler Installation","Установка котла","Կաթսայի տեղադրում","Install boilers","Установка котла","Կաթսաների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"107","Boiler Maintenance","Обслуживание котла","Կաթսայի սպասարկում","Service boilers","Обслуживание котла","Կաթսայի սպասարկում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"108","Pressure Valve Replacement","Замена клапана давления","Ճնշման փականի փոխարինում","Replace pressure valves","Замена клапана давления","Ճնշման փականների փոխարինում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"109","Sewer Inspection","Проверка канализации","Կոյուղու ստուգում","Inspect sewer lines","Проверка канализации","Կոյուղու համակարգի ստուգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"110","Toilet Installation","Установка унитаза","Զուգարանի տեղադրում","Install toilets","Установка унитаза","Զուգարանների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"111","Bidet Installation","Установка биде","Բիդեի տեղադրում","Install bidets","Установка биде","Բիդեների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"112","Shower Cabin Installation","Установка душевой кабины","Ցնցուղախցիկի տեղադրում","Install shower cabins","Установка душевой кабины","Ցնցուղախցիկների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"113","Bathroom Silicone Sealing","Герметизация ванной","Լոգարանի սիլիկոնում","Seal bathroom joints","Герметизация ванной","Լոգարանի կարերի սիլիկոնում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"114","Kitchen Sink Repair","Ремонт кухонной раковины","Խոհանոցի լվացարանի նորոգում","Fix kitchen sinks","Ремонт кухонной раковины","Խոհանոցի լվացարանի նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"115","Garbage Disposal Installation","Установка измельчителя","Թափոնախառնիչի տեղադրում","Install disposals","Установка измельчителя","Թափոնախառնիչների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"116","Door Threshold Installation","Установка порога","Դռան շեմի տեղադրում","Install door thresholds","Установка порога","Դռան շեմերի տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"117","Floor Leveling","Выравнивание пола","Հատակի հարթեցում","Level floors","Выравнивание пола","Հատակի հարթեցում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"118","Parquet Repair","Ремонт паркета","Պարկետի նորոգում","Fix parquet floors","Ремонт паркета","Պարկետի նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"119","Carpet Installation","Укладка ковролина","Գորգածածկի տեղադրում","Install carpets","Укладка ковролина","Գորգածածկի տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"120","Floor Skirting Repair","Ремонт плинтуса","Պլինտուսի նորոգում","Fix floor skirting","Ремонт плинтуса","Պլինտուսների նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"121","Wall Panel Installation","Монтаж стеновых панелей","Պատի վահանակների տեղադրում","Install wall panels","Монтаж стеновых панелей","Պատի վահանակների տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"122","Drywall Repair","Ремонт гипсокартона","Գիպսաստվարաթղթի նորոգում","Fix drywall","Ремонт гипсокартона","Գիպսաստվարաթղթի նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"123","Drywall Installation","Монтаж гипсокартона","Գիպսաստվարաթղթի տեղադրում","Install drywall","Монтаж гипсокартона","Գիպսաստվարաթղթի տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"124","Ceiling Crack Repair","Ремонт трещин потолка","Առաստաղի ճաքերի նորոգում","Fix ceiling cracks","Ремонт трещин потолка","Առաստաղի ճաքերի նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"125","Roof Leak Repair","Ремонт протечки крыши","Տանիքի արտահոսքի նորոգում","Fix roof leaks","Ремонт протечки крыши","Տանիքի արտահոսքի նորոգում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"126","Gutter Cleaning","Чистка водостока","Ջրահեռացման մաքրում","Clean gutters","Чистка водостока","Ջրահեռացման մաքրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"127","Attic Insulation Installation","Утепление чердака","Ձեղնահարկի ջերմամեկուսացում","Install attic insulation","Утепление чердака","Ձեղնահարկի ջերմամեկուսացում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"128","Awning Installation","Установка навеса","Ծածկի տեղադրում","Install awnings","Установка навеса","Ծածկերի տեղադրում","2026-01-29 14:46:24.791","2026-01-29 14:46:24.791"
"129","Haircut","Стрижка","Սանրվածք","Cut hair","Стрижка волос","Մազերի կտրում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"130","Hair Styling","Укладка волос","Մազերի հարդարում","Style hair","Укладка волос","Մազերի հարդարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"131","Hair Coloring","Окрашивание волос","Մազերի ներկում","Color hair","Окрашивание волос","Մազերի ներկում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"132","Root Coloring","Окрашивание корней","Արմատների ներկում","Color hair roots","Окрашивание корней","Մազերի արմատների ներկում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"133","Hair Toner","Тонирование волос","Մազերի տոնավորում","Tone hair color","Тонирование волос","Մազերի տոնավորում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"134","Blow Dry","Укладка феном","Ֆենով հարդարում","Blow dry hair","Укладка феном","Ֆենով հարդարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"135","Hair Treatment","Уход за волосами","Մազերի խնամք","Hair care treatment","Уход за волосами","Մազերի խնամք","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"136","Scalp Treatment","Уход за кожей головы","Գլխամաշկի խնամք","Scalp care","Уход за кожей головы","Գլխամաշկի խնամք","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"137","Beard Trim","Коррекция бороды","Մորուքի հարդարում","Trim beard","Коррекция бороды","Մորուքի հարդարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"138","Beard Shaping","Моделирование бороды","Մորուքի ձևավորում","Shape beard","Моделирование бороды","Մորուքի ձևավորում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"139","Manicure","Маникюр","Մատնահարդարում","Nail manicure","Маникюр","Մատնահարդարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"140","Pedicure","Педикюр","Ոտնահարդարում","Foot pedicure","Педикюр","Ոտնահարդարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"141","Gel Manicure","Гель маникюр","Գել մատնահարդարում","Gel manicure","Гель маникюр","Գել մատնահարդարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"142","Nail Extension","Наращивание ногтей","Եղունգների երկարացում","Extend nails","Наращивание ногтей","Եղունգների երկարացում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"143","Nail Repair","Ремонт ногтей","Եղունգի նորոգում","Fix broken nails","Ремонт ногтей","Եղունգների նորոգում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"144","Nail Design","Дизайн ногтей","Եղունգների դիզայն","Decorate nails","Дизайн ногтей","Եղունգների ձևավորում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"145","Eyebrow Shaping","Коррекция бровей","Հոնքերի ձևավորում","Shape eyebrows","Коррекция бровей","Հոնքերի ձևավորում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"146","Eyebrow Coloring","Окрашивание бровей","Հոնքերի ներկում","Color eyebrows","Окрашивание бровей","Հոնքերի ներկում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"147","Eyelash Tinting","Окрашивание ресниц","Թարթիչների ներկում","Tint eyelashes","Окрашивание ресниц","Թարթիչների ներկում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"148","Eyelash Lifting","Ламинирование ресниц","Թարթիչների լամինացիա","Lift eyelashes","Ламинирование ресниц","Թարթիչների լամինացիա","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"149","Eyelash Extension","Наращивание ресниц","Թարթիչների երկարացում","Extend eyelashes","Наращивание ресниц","Թարթիչների երկարացում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"150","Facial Cleaning","Чистка лица","Դեմքի մաքրում","Clean facial skin","Чистка лица","Դեմքի մաքրում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"151","Facial Massage","Массаж лица","Դեմքի մերսում","Massage face","Массаж лица","Դեմքի մերսում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"152","Face Mask Application","Нанесение маски","Դիմակի կիրառություն","Apply face mask","Нанесение маски","Դիմակի կիրառություն","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"153","Skin Care Treatment","Уход за кожей","Մաշկի խնամք","Skin care treatment","Уход за кожей","Մաշկի խնամք","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"154","Makeup","Макияж","Շպարում","Apply makeup","Макияж","Շպարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"155","Evening Makeup","Вечерний макияж","Երեկոյան շպարում","Evening makeup","Вечерний макияж","Երեկոյան շպարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"156","Bridal Makeup","Свадебный макияж","Հարսանեկան շպարում","Bridal makeup","Свадебный макияж","Հարսանեկան շպարում","2026-01-29 14:47:37.265","2026-01-29 14:47:37.265"
"157","Waxing Legs","Восковая депиляция ног","Գոտկատեղի մոմահանում","Wax leg hair","Восковая депиляция ног","Բազկաթաթի մոմահանում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"158","Waxing Arms","Восковая депиляция рук","Ձեռքերի մոմահանում","Wax arm hair","Восковая депиляция рук","Ձեռքերի մոմահանում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"159","Waxing Underarms","Восковая депиляция подмышек","Դիմացի մոմահանում","Wax underarms","Восковая депиляция подмышек","Դիմացի մոմահանում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"160","Waxing Bikini","Восковая депиляция бикини","Բիկինի մոմահանում","Wax bikini area","Восковая депиляция бикини","Բիկինի մոմահանում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"161","Waxing Face","Восковая депиляция лица","Դեմքի մոմահանում","Wax facial hair","Восковая депиляция лица","Դեմքի մոմահանում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"162","Sugaring","Суггари","Շուգարինգ","Hair removal by sugar paste","Суггари","Շուգարինգ","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"163","Threading Eyebrows","Коррекция бровей ниткой","Հոնքերի ձողի ձևավորում","Eyebrow shaping by threading","Коррекция бровей ниткой","Հոնքերի ձողի ձևավորում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
